-110,2
-102,1
-98,1
-97,1
-94,2
-92,2
-90,1
-88,1
-87,3
-85,2
-84,2
-83,2
-82,1
-81,3
-80,1
-79,4
-78,4
-77,3
-76,3
-75,2
-74,2
-73,3
-72,5
-71,2
-70,2
-69,7
-67,5
-66,5
-65,4
-64,3
-63,10
-62,9
-61,9
-60,14
-59,14
-58,14
-57,13
-56,19
-55,16
-54,18
-53,14
-52,22
-51,15
-50,31
-49,20
-48,19
-47,24
-46,25
-45,34
-44,37
-43,24
-42,32
-41,26
-40,33
-39,41
-38,31
-37,39
-36,37
-35,64
-34,50
-33,38
-32,66
-31,64
-30,83
-29,59
-28,64
-27,95
-26,74
-25,125
-24,139
-23,143
-22,162
-21,156
-20,235
-19,228
-18,308
-17,364
-16,407
-15,582
-14,642
-13,916
-12,1176
-11,1259
-10,2158
-9,2480
-8,3569
-7,4883
-6,5984
-5,10183
-4,11465
-3,17420
-2,22415
-1,23949
0,31483
1,23999
2,22503
3,17446
4,11511
5,10142
6,5765
7,4793
8,3410
9,2262
10,2005
11,1200
12,1049
13,762
14,603
15,598
16,362
17,342
18,305
19,234
20,272
21,181
22,207
23,171
24,126
25,149
26,127
27,127
28,116
29,70
30,93
31,74
32,68
33,59
34,68
35,66
36,44
37,60
38,32
39,42
40,53
41,19
42,19
43,20
44,18
45,14
46,13
47,27
48,13
49,19
50,8
51,16
52,14
53,4
54,8
55,10
56,8
57,18
58,7
59,13
60,9
61,7
62,7
63,5
64,6
65,3
66,5
67,2
68,5
69,3
70,5
71,1
72,4
73,1
74,2
