-126,1
-120,1
-117,1
-116,1
-115,2
-114,1
-113,1
-112,4
-111,1
-110,3
-109,4
-108,2
-106,1
-105,4
-104,4
-103,4
-102,3
-101,3
-100,2
-97,1
-96,1
-94,1
-93,1
-92,1
-91,3
-90,1
-89,4
-88,2
-87,3
-86,2
-85,9
-84,2
-83,7
-82,3
-81,10
-80,10
-79,6
-78,5
-77,3
-76,5
-75,3
-74,3
-73,6
-72,7
-71,10
-70,12
-69,9
-68,6
-67,6
-66,6
-65,8
-64,13
-63,8
-62,13
-61,13
-60,12
-59,12
-58,17
-57,10
-56,7
-55,9
-54,15
-53,18
-52,16
-51,10
-50,9
-49,12
-48,20
-47,8
-46,11
-45,16
-44,10
-43,17
-42,22
-41,14
-40,22
-39,27
-38,34
-37,34
-36,29
-35,37
-34,33
-33,30
-32,38
-31,35
-30,32
-29,55
-28,41
-27,50
-26,55
-25,70
-24,61
-23,73
-22,64
-21,94
-20,88
-19,98
-18,124
-17,157
-16,188
-15,213
-14,264
-13,318
-12,347
-11,497
-10,641
-9,784
-8,1058
-7,1393
-6,1889
-5,2554
-4,3158
-3,3942
-2,4810
-1,5191
0,5493
1,5249
2,4892
3,4249
4,3419
5,2786
6,2069
7,1658
8,1312
9,937
10,708
11,588
12,408
13,315
14,273
15,203
16,191
17,147
18,124
19,133
20,118
21,85
22,61
23,70
24,52
25,61
26,56
27,47
28,28
29,38
30,23
31,27
32,28
33,27
34,26
35,26
36,26
37,20
38,19
39,17
40,18
41,19
42,17
43,10
44,10
45,6
46,8
47,16
48,10
49,8
50,8
51,8
52,10
53,14
54,6
55,8
56,12
57,5
58,5
59,2
60,4
61,4
62,6
63,9
64,6
65,7
66,2
67,5
68,5
69,3
70,5
71,5
72,2
73,5
74,5
75,1
76,3
77,1
78,5
79,3
80,4
81,3
82,5
83,1
84,2
85,2
87,2
88,2
89,1
90,5
91,1
92,2
93,1
94,2
95,1
96,2
97,2
98,4
99,2
100,2
101,1
102,4
103,2
104,3
106,4
107,4
108,2
109,3
111,4
112,3
113,1
114,2
115,2
116,5
117,2
118,3
120,3
121,2
122,2
123,2
124,1
125,1
