0,2
1,4
2,20
3,36
4,113
5,165
6,247
7,464
8,554
9,686
10,1035
11,876
12,882
13,1244
14,848
15,934
16,1151
17,931
18,935
19,1092
20,841
21,802
22,927
23,714
24,726
25,712
26,676
27,659
28,657
29,634
30,616
31,573
32,573
33,502
34,486
35,486
36,462
37,415
38,422
39,417
40,432
41,444
42,429
43,475
44,461
45,494
46,512
47,526
48,567
49,638
50,665
51,733
52,764
53,777
54,846
55,864
56,884
57,831
58,901
59,875
60,895
61,898
62,946
63,939
64,878
65,916
66,921
67,863
68,906
69,948
70,941
71,844
72,969
73,1011
74,1038
75,1122
76,1184
77,1309
78,1441
79,1480
80,1655
81,1768
82,1783
83,1859
84,2060
85,2053
86,2082
87,2286
88,2241
89,2339
90,2431
91,2365
92,2527
93,2638
94,2638
95,2622
96,2741
97,2705
98,2507
99,2437
100,2142
101,1950
102,1772
103,1597
104,1506
105,1341
106,1308
107,1157
108,1284
109,1164
110,1110
111,1036
112,1130
113,1048
114,1041
115,1071
116,1052
117,1020
118,1007
119,1028
120,1011
121,1009
122,996
123,1021
124,998
125,1015
126,1005
127,999
128,998
129,1038
130,1047
131,1051
132,1071
133,1072
134,1205
135,1265
136,1231
137,1378
138,1313
139,1458
140,1460
141,1391
142,1499
143,1478
144,1541
145,1609
146,1562
147,1577
148,1642
149,1676
150,1699
151,1769
152,1734
153,1642
154,1749
155,1699
156,1757
157,1852
158,1828
159,1815
160,1894
161,1909
162,1787
163,1836
164,1858
165,1828
166,1820
167,1766
168,1660
169,1602
170,1665
171,1610
172,1573
173,1593
174,1668
175,1634
176,1734
177,1607
178,1672
179,1644
180,1684
181,1596
182,1706
183,1729
184,1803
185,1871
186,1931
187,2081
188,2110
189,2100
190,2059
191,1899
192,1729
193,1593
194,1318
195,1147
196,969
197,909
198,764
199,734
200,755
201,619
202,671
203,625
204,613
205,591
206,594
207,545
208,571
209,579
210,574
211,641
212,639
213,603
214,545
215,475
216,412
217,339
218,302
219,198
220,160
221,101
222,79
223,45
224,15
225,6
226,6
227,1
228,1
255,0
